"时间戳记","Gender","Age","Education","Income","Technical experience","Perceived enjoyment (Your attitude or belief concerning the use of vacuum cleaner robot) [I would feel enjoyable while using vacuum cleaner robot.]","Perceived enjoyment (Your attitude or belief concerning the use of vacuum cleaner robot) [I enjoy using vacuum cleaner robot more than traditional cleaning tools.]","Perceived enjoyment (Your attitude or belief concerning the use of vacuum cleaner robot) [Using vacuum cleaner robot could brings me extra psychological satisfaction.]","Social influence (Friends' opinions or user feedback on the product) [If I use vacuum cleaner robot, I can provide better experience and suggestions to my friends and family.]","Social influence (Friends' opinions or user feedback on the product) [People around me think it is a good idea for me to use vacuum cleaner robot.]","Social influence (Friends' opinions or user feedback on the product) [People around me have encouraged me to use vacuum cleaner robot.]","Perceived risk [There would be some potential risks to children or pets when using the vacuum cleaner robot.]","Perceived risk [Using the vacuum cleaner robot would not fit in well with my personal values or self-image.]","Perceived risk [Vacuum cleaner robot may misuse my data.]","Trust [I feel confident that I can rely on the benefits provided by the vacuum cleaner robot.]","Trust [As I understand it, vacuum cleaner robot provide very good functionalities.]","Trust [I believe that I can trust in the adequate functioning of the vacuum cleaner robot.]","Technology Anxiety （Technical difficulties lead to anxiety） [Using vacuum cleaner robot would make me very nervous.]","Technology Anxiety （Technical difficulties lead to anxiety） [Using vacuum cleaner robot make me worried.]","Technology Anxiety （Technical difficulties lead to anxiety） [Using vacuum cleaner robot may make me feel uncomfortable.]","Behavioral Intention  [I have a high intention to use vacuum cleaner robot.]","Behavioral Intention  [I plan to use vacuum cleaner robot to manage room cleaning.]","Behavioral Intention  [I have money, knowledge, and ability to use vacuum cleaner robot.]","Attitude （Your attitude towards the use of vacuum cleaner robots） [Using vacuum cleaner robot is a good idea.]","Attitude （Your attitude towards the use of vacuum cleaner robots） [Using vacuum cleaner robot will promote me to manage room cleaning more actively.]","Attitude （Your attitude towards the use of vacuum cleaner robots） [I like the idea of using vacuum cleaner robot.]","Perceived Ease of Use [Learning to use vacuum cleaner robot would be easy for me.]","Perceived Ease of Use [It would be easy for me to become skillful at using vacuum cleaner robot.]","Perceived Ease of Use [Interacting with the vacuum cleaner robot would not require a lot of my mental effort.]","Perceived Usefulness [Using vacuum cleaner robot would enhance my effectiveness in room cleaning.]","Perceived Usefulness [I would find vacuum cleaner robot useful in the healthcare.]","Perceived Usefulness [I think that vacuum cleaner robot are useful for my life.]","","",""
"2022/05/12 3:37:19 下午 GMT+2","Male","18 - 40","College student","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Disagree","Strongly disagree","Neutral","Strongly disagree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Agree","Neutral","Neutral","Agree","Neutral","","",""
"2022/05/12 4:00:30 下午 GMT+2","Male","18 - 40","College student","2000 - 5000 PLN","I have not used home service machines.","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly agree","Agree","Agree","Strongly agree","Neutral","Neutral","Agree","Agree","Agree","","",""
"2022/05/12 4:03:52 下午 GMT+2","Male","18 - 40","College student",">5000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:11:17 下午 GMT+2","Female","18 - 40","Master and above","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:12:36 下午 GMT+2","Male","40 - 60","High school and below",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:14:05 下午 GMT+2","Female","40 - 60","College student",">5000 PLN","I have not used home service machines.","Agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Neutral","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neutral","Agree","","",""
"2022/05/12 4:15:39 下午 GMT+2","Male","< 18","High school and below","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:16:22 下午 GMT+2","Female","40 - 60","High school and below",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:18:55 下午 GMT+2","Male","40 - 60","College student",">5000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:23:25 下午 GMT+2","Male","40 - 60","High school and below","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:26:45 下午 GMT+2","Female","40 - 60","High school and below","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Disagree","Disagree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:29:08 下午 GMT+2","Female","18 - 40","Master and above","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:31:12 下午 GMT+2","Female","> 60","High school and below",">5000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","","",""
"2022/05/12 4:34:20 下午 GMT+2","Male","> 60","High school and below",">5000 PLN","I have not used home service machines.","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Disagree","Disagree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/12 4:45:37 下午 GMT+2","Male","18 - 40","Master and above","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Disagree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","","",""
"2022/05/12 5:08:55 下午 GMT+2","Male","40 - 60","College student",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neutral","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neutral","Agree","","",""
"2022/05/12 5:09:56 下午 GMT+2","Female","18 - 40","Master and above","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Strongly disagree","Disagree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","","",""
"2022/05/12 5:45:25 下午 GMT+2","Male","18 - 40","Master and above",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","","",""
"2022/05/12 8:45:13 下午 GMT+2","Female","18 - 40","Master and above","<2000 PLN","I have not used home service machines.","Strongly agree","Neutral","Strongly disagree","Agree","Neutral","Strongly disagree","Agree","Disagree","Neutral","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/13 3:07:09 上午 GMT+2","Female","< 18","College student","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Agree","Strongly agree","Neutral","Agree","Neutral","Strongly agree","Strongly disagree","Neutral","Neutral","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neutral","Disagree","Strongly agree","Neutral","Strongly agree","","",""
"2022/05/13 4:40:40 上午 GMT+2","Female","18 - 40","College student","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/13 7:55:42 上午 GMT+2","Female","18 - 40","College student","","I have not used home service machines.","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","",""
"2022/05/13 8:29:18 上午 GMT+2","Male","18 - 40","Master and above","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Agree","Neutral","Agree","Agree","Neutral","Strongly disagree","Neutral","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","","",""
"2022/05/13 12:15:44 下午 GMT+2","Female","18 - 40","College student",">5000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/13 12:16:48 下午 GMT+2","Male","18 - 40","College student","2000 - 5000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Disagree","Neutral","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","","",""
"2022/05/13 1:18:25 下午 GMT+2","Male","18 - 40","High school and below","<2000 PLN","I have not used home service machines.","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","","Agree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Strongly agree","Strongly agree","Agree","Agree","","",""
"2022/05/13 7:36:13 下午 GMT+2","Female","18 - 40","College student","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Neutral","Agree","Strongly agree","Disagree","Strongly disagree","Disagree","Neutral","Agree","Agree","Agree","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","","",""
"2022/05/14 1:29:35 下午 GMT+2","Female","> 60","Master and above","<2000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","","",""
"2022/05/17 10:53:02 上午 GMT+2","Male","18 - 40","College student","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 10:56:49 上午 GMT+2","Female","18 - 40","College student","<2000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 10:57:34 上午 GMT+2","Male","18 - 40","College student","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:00:41 上午 GMT+2","Male","18 - 40","College student","<2000 PLN","I have not used home service machines.","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:01:37 上午 GMT+2","Female","40 - 60","High school and below",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:03:12 上午 GMT+2","Female","40 - 60","College student",">5000 PLN","I have not used home service machines.","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:05:43 上午 GMT+2","Male","18 - 40","Master and above",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:08:24 上午 GMT+2","Male","18 - 40","College student","2000 - 5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:09:33 上午 GMT+2","Female","> 60","High school and below",">5000 PLN","I have not used home service machines.","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:10:25 上午 GMT+2","Male","> 60","High school and below",">5000 PLN","I have not used home service machines.","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:11:53 上午 GMT+2","Male","18 - 40","College student","<2000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","",""
"2022/05/17 11:14:36 上午 GMT+2","Female","18 - 40","Master and above",">5000 PLN","I have used home service machines. (eg: automatic dishwashers, air purifiers, etc.)","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","","",""
